Metraje,Cantidad de habitaciones,Baños,apartment_type,project_name,project_url,project_description,project_c_time,project_m_time,project_img_url,project_zone,project_status,project_lat,project_lon,Parqueos,Cuotas desde,Precio desde,Incluye bodega,Incluye área de servicio
49m²,2,1,Estilo NT1,ativo-apartamentos,https://citymap.com.gt/propiedades/ativo-apartamentos/,"Ubicados en Zona 13. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 22 Calle 14-58 Zona 13. Ativo apa tame tos e  zo a 13
Ativo cue ta co  56 apa tame tos de 1, 2 y 3 habitacio es. Los apa tame tos sob esale  po  sus techos de 3 met os de altu a y co c eto expuesto.

Los espacios está  diseñados pa a que sea  amplios y cómodos pa a u a pa eja, u a familia o amigos",2021-07-19T18:41:21+00:00,2024-06-13T18:41:19+00:00,https://citymap.com.gt/wp-content/uploads/2021/07/ATIVO.jpg,zona-13,Null,14.5740519962143,-90.52670085341042,1,,"$142,000",,
70m²,2,2,Estilo NT2,ativo-apartamentos,https://citymap.com.gt/propiedades/ativo-apartamentos/,"Ubicados en Zona 13. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 22 Calle 14-58 Zona 13. Ativo apa tame tos e  zo a 13
Ativo cue ta co  56 apa tame tos de 1, 2 y 3 habitacio es. Los apa tame tos sob esale  po  sus techos de 3 met os de altu a y co c eto expuesto.

Los espacios está  diseñados pa a que sea  amplios y cómodos pa a u a pa eja, u a familia o amigos",2021-07-19T18:41:21+00:00,2024-06-13T18:41:19+00:00,https://citymap.com.gt/wp-content/uploads/2021/07/ATIVO.jpg,zona-13,Null,14.5740519962143,-90.52670085341042,2,,"$188,000",,
49m²,2,1,Estilo NT5,ativo-apartamentos,https://citymap.com.gt/propiedades/ativo-apartamentos/,"Ubicados en Zona 13. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 22 Calle 14-58 Zona 13. Ativo apa tame tos e  zo a 13
Ativo cue ta co  56 apa tame tos de 1, 2 y 3 habitacio es. Los apa tame tos sob esale  po  sus techos de 3 met os de altu a y co c eto expuesto.

Los espacios está  diseñados pa a que sea  amplios y cómodos pa a u a pa eja, u a familia o amigos",2021-07-19T18:41:21+00:00,2024-06-13T18:41:19+00:00,https://citymap.com.gt/wp-content/uploads/2021/07/ATIVO.jpg,zona-13,Null,14.5740519962143,-90.52670085341042,1,,"$142,000",,
49m²,2,1,Estilo NT6,ativo-apartamentos,https://citymap.com.gt/propiedades/ativo-apartamentos/,"Ubicados en Zona 13. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 22 Calle 14-58 Zona 13. Ativo apa tame tos e  zo a 13
Ativo cue ta co  56 apa tame tos de 1, 2 y 3 habitacio es. Los apa tame tos sob esale  po  sus techos de 3 met os de altu a y co c eto expuesto.

Los espacios está  diseñados pa a que sea  amplios y cómodos pa a u a pa eja, u a familia o amigos",2021-07-19T18:41:21+00:00,2024-06-13T18:41:19+00:00,https://citymap.com.gt/wp-content/uploads/2021/07/ATIVO.jpg,zona-13,Null,14.5740519962143,-90.52670085341042,1,,"$142,000",,
119m²,3,2,Estilo N1-3D,ativo-apartamentos,https://citymap.com.gt/propiedades/ativo-apartamentos/,"Ubicados en Zona 13. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 22 Calle 14-58 Zona 13. Ativo apa tame tos e  zo a 13
Ativo cue ta co  56 apa tame tos de 1, 2 y 3 habitacio es. Los apa tame tos sob esale  po  sus techos de 3 met os de altu a y co c eto expuesto.

Los espacios está  diseñados pa a que sea  amplios y cómodos pa a u a pa eja, u a familia o amigos",2021-07-19T18:41:21+00:00,2024-06-13T18:41:19+00:00,https://citymap.com.gt/wp-content/uploads/2021/07/ATIVO.jpg,zona-13,Null,14.5740519962143,-90.52670085341042,2,,"$257,000",,
67m²,1,1.5,Light,artis,https://citymap.com.gt/propiedades/artis/,"Ubicados en Zona 13 con precio desde $1,245. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 15 Avenida A 20-60 Zona 13.",2021-03-03T20:44:52+00:00,2024-10-10T19:51:28+00:00,https://citymap.com.gt/wp-content/uploads/2021/03/ARTIS-2-1.jpg,zona-13,Null,14.575645380569323,-90.52524626255035,2,"$1,245",,,
74m²,2,2,Bold,artis,https://citymap.com.gt/propiedades/artis/,"Ubicados en Zona 13 con precio desde $1,245. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 15 Avenida A 20-60 Zona 13.",2021-03-03T20:44:52+00:00,2024-10-10T19:51:28+00:00,https://citymap.com.gt/wp-content/uploads/2021/03/ARTIS-2-1.jpg,zona-13,Null,14.575645380569323,-90.52524626255035,2,"$1,327",,,
80m²,3,2,Plus,artis,https://citymap.com.gt/propiedades/artis/,"Ubicados en Zona 13 con precio desde $1,245. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 15 Avenida A 20-60 Zona 13.",2021-03-03T20:44:52+00:00,2024-10-10T19:51:28+00:00,https://citymap.com.gt/wp-content/uploads/2021/03/ARTIS-2-1.jpg,zona-13,Null,14.575645380569323,-90.52524626255035,2,"$1,439",,,
78.82m²,1,1.5,Apto A701A,via-pulte,https://citymap.com.gt/propiedades/via-pulte/,"Ubicados en Zona 16. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 9 amenidades. Direccion: zona 16, Ciudad de Guatemala. Vía Pulté Apa tame tos e  zo a 16
VÍA PULTÉ es u  p oyecto de G upo Soho, u a desa ollado a de p oyectos de co st ucció  i ovado es. El mismo se ha ca acte izado po  desa olla  p oyectos di igidos al secto  más exclusivo pa a dife e tes usos.

Desde p oyectos  eside ciales co  clubes exclusivos, hasta el p ime  desa ollo ve tical de uso mixto e  Guatemala co  á ea come cial, ofici as, hotel y apa tame tos.",2025-01-24T17:37:44+00:00,2025-01-24T18:15:48+00:00,https://citymap.com.gt/wp-content/uploads/2025/01/viapulte.jpg,zona-16,Null,14.591524137110447,-90.44871002824428,1,,"$164,000",,
100.34m²,2,2.5,Tipo B-2,via-pulte,https://citymap.com.gt/propiedades/via-pulte/,"Ubicados en Zona 16. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 9 amenidades. Direccion: zona 16, Ciudad de Guatemala. Vía Pulté Apa tame tos e  zo a 16
VÍA PULTÉ es u  p oyecto de G upo Soho, u a desa ollado a de p oyectos de co st ucció  i ovado es. El mismo se ha ca acte izado po  desa olla  p oyectos di igidos al secto  más exclusivo pa a dife e tes usos.

Desde p oyectos  eside ciales co  clubes exclusivos, hasta el p ime  desa ollo ve tical de uso mixto e  Guatemala co  á ea come cial, ofici as, hotel y apa tame tos.",2025-01-24T17:37:44+00:00,2025-01-24T18:15:48+00:00,https://citymap.com.gt/wp-content/uploads/2025/01/viapulte.jpg,zona-16,Null,14.591524137110447,-90.44871002824428,2,,"$220,000",,
